job_category,continent,experience_level,employment_type,company_size,work_year,salary_in_usd,salary_in_usd,salary_in_usd
,,,,,,count,mean,std
DATA_ANALYSIS,ASIA_PACIFIC,EN,FT,L,2021,1,42028.0,
DATA_ANALYSIS,ASIA_PACIFIC,EN,FT,L,2022,1,15000.0,
DATA_ANALYSIS,ASIA_PACIFIC,EN,FT,L,2023,1,20673.0,
DATA_ANALYSIS,ASIA_PACIFIC,EN,FT,M,2023,3,39756.0,8841.123684238333
DATA_ANALYSIS,ASIA_PACIFIC,EN,FT,M,2024,6,93656.16666666667,4899.022368459514
DATA_ANALYSIS,ASIA_PACIFIC,EN,PT,L,2023,1,18160.0,
DATA_ANALYSIS,ASIA_PACIFIC,MI,FT,L,2021,1,16904.0,
DATA_ANALYSIS,ASIA_PACIFIC,MI,FT,L,2022,2,31682.0,18905.206901803536
DATA_ANALYSIS,ASIA_PACIFIC,MI,FT,L,2023,2,16048.5,521.1376977344855
DATA_ANALYSIS,ASIA_PACIFIC,MI,FT,M,2022,3,45476.666666666664,24690.644631789855
DATA_ANALYSIS,ASIA_PACIFIC,MI,FT,M,2023,4,118125.0,43367.37444977119
DATA_ANALYSIS,ASIA_PACIFIC,SE,FT,L,2022,1,171000.0,
DATA_ANALYSIS,ASIA_PACIFIC,SE,FT,M,2022,1,60000.0,
DATA_ANALYSIS,ASIA_PACIFIC,SE,FT,M,2024,2,153750.0,15909.90257669732
DATA_ANALYSIS,ASIA_PACIFIC,SE,FT,S,2021,1,50000.0,
DATA_ANALYSIS,ASIA_PACIFIC,SE,FT,S,2023,1,15809.0,
DATA_ANALYSIS,EUROPE,EN,FT,L,2020,1,47899.0,
DATA_ANALYSIS,EUROPE,EN,FT,L,2021,1,59102.0,
DATA_ANALYSIS,EUROPE,EN,FT,L,2022,1,60938.0,
DATA_ANALYSIS,EUROPE,EN,FT,M,2020,1,22809.0,
DATA_ANALYSIS,EUROPE,EN,FT,M,2021,1,59102.0,
DATA_ANALYSIS,EUROPE,EN,FT,M,2022,1,28368.0,
DATA_ANALYSIS,EUROPE,EN,FT,M,2023,33,51103.90909090909,19778.864690882216
DATA_ANALYSIS,EUROPE,EN,FT,M,2024,32,51178.9375,19993.3610270324
DATA_ANALYSIS,EUROPE,EN,FT,S,2023,1,26992.0,
DATA_ANALYSIS,EUROPE,EX,FT,M,2024,2,65625.0,4419.4173824159225
DATA_ANALYSIS,EUROPE,MI,FT,L,2020,1,46759.0,
DATA_ANALYSIS,EUROPE,MI,FT,L,2021,1,51519.0,
DATA_ANALYSIS,EUROPE,MI,FT,L,2023,2,72755.0,18912.2779696154
